"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL42"	"CLOZAPINE"	"4.0"	"326.83"	"0"	"3.72"	"211"	"CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1"	"CL"	"'>'"	"150.0"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301371"	"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736"	"A"	"BAO_0000219"	"cell-based format"	"Rattus norvegicus"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308022"	""	""	""	"150.0"
"CHEMBL71"	"CHLORPROMAZINE"	"4.0"	"318.87"	"0"	"4.89"	"11"	"CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21"	"CL"	"'>'"	"150.0"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301371"	"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736"	"A"	"BAO_0000219"	"cell-based format"	"Rattus norvegicus"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308022"	""	""	""	"150.0"
"CHEMBL894"	"BUPROPION"	"4.0"	"239.75"	"0"	"3.30"	"1609"	"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1"	"CL"	""	"16.98"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301372"	"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736."	"A"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308043"	""	""	""	"16.98"
"CHEMBL1201335"	"GLYCOPYRRONIUM"	"4.0"	"318.44"	"0"	"2.46"	"3445"	"C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1"	"CL"	""	"91.0"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301371"	"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736"	"A"	"BAO_0000219"	"cell-based format"	"Rattus norvegicus"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308022"	""	""	""	"91.0"
"CHEMBL1172"	"DESLORATADINE"	"4.0"	"310.83"	"0"	"4.02"	"1721"	"Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1"	"CL"	""	"26.92"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301371"	"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736"	"A"	"BAO_0000219"	"cell-based format"	"Rattus norvegicus"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308022"	""	""	""	"26.92"
"CHEMBL1852688"	"INFIGRATINIB"	"4.0"	"560.49"	"2"	"5.35"	"5625"	"CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1"	"CL"	""	"28.84"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301372"	"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736."	"A"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308043"	""	""	""	"28.84"
"CHEMBL128"	"SUMATRIPTAN"	"4.0"	"295.41"	"0"	"1.32"	"1674"	"CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1"	"CL"	"'<'"	"3.0"	"mL.min-1.g-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301370"	"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736."	"A"	"BAO_0000251"	"microsome format"	"Homo sapiens"	"CHEMBL3559723"	"Liver"	"None"	"Microsome"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"None"	""	""	""	"3.0"
"CHEMBL15770"	"SULINDAC"	"4.0"	"356.42"	"0"	"4.37"	"623"	"CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1"	"CL"	"'<'"	"3.0"	"mL.min-1.g-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301370"	"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736."	"A"	"BAO_0000251"	"microsome format"	"Homo sapiens"	"CHEMBL3559723"	"Liver"	"None"	"Microsome"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"None"	""	""	""	"3.0"
"CHEMBL894"	"BUPROPION"	"4.0"	"239.75"	"0"	"3.30"	"1609"	"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1"	"CL"	""	"12.02"	"mL.min-1.g-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301370"	"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736."	"A"	"BAO_0000251"	"microsome format"	"Homo sapiens"	"CHEMBL3559723"	"Liver"	"None"	"Microsome"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"None"	""	""	""	"12.02"
"CHEMBL1078178"	"MOMELOTINIB"	"4.0"	"414.47"	"0"	"2.98"	"5472"	"N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1"	"CL"	""	"5.13"	"uL.min-1.(10^6cells)-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL3301371"	"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736"	"A"	"BAO_0000219"	"cell-based format"	"Rattus norvegicus"	"CHEMBL3559723"	"Liver"	"Hepatocyte"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL3301361"	"27"	"AstraZeneca DMPK/physicochemical"	""	""	"CHEMBL3308022"	""	""	""	"5.13"
